iter	Passed	Remaining
0	171	171356
1	173	86792
2	176	58512
3	178	44352
4	180	35847
5	181	30112
6	183	26009
7	184	22933
8	186	20546
9	187	18599
10	189	17001
11	190	15678
12	191	14559
13	192	13591
14	194	12743
15	195	11999
16	196	11353
17	197	10768
18	198	10259
19	199	9790
20	200	9366
21	202	8982
22	203	8630
23	204	8307
24	205	8007
25	206	7730
26	207	7474
27	208	7238
28	209	7023
29	210	6817
30	212	6627
31	213	6448
32	214	6277
33	215	6118
34	216	5968
35	217	5824
36	218	5690
37	219	5563
38	220	5442
39	222	5328
40	223	5219
41	224	5119
42	225	5025
43	226	4931
44	228	4841
45	229	4754
46	230	4669
47	231	4590
48	232	4514
49	233	4441
50	234	4370
51	235	4299
52	236	4232
53	237	4167
54	239	4110
55	240	4050
56	241	3993
57	242	3939
58	243	3887
59	244	3836
60	245	3785
61	246	3735
62	248	3689
63	249	3644
64	250	3601
65	251	3559
66	252	3522
67	254	3482
68	255	3444
69	256	3407
70	257	3370
71	258	3335
72	259	3300
73	261	3266
74	262	3233
75	263	3201
76	264	3171
77	265	3139
78	266	3111
79	268	3082
80	269	3055
81	270	3029
82	271	2996
83	272	2969
84	273	2943
85	274	2918
86	275	2893
87	276	2868
88	278	2846
89	279	2823
90	280	2800
91	281	2778
92	282	2758
93	284	2738
94	285	2716
95	286	2696
96	287	2675
97	288	2655
98	289	2635
99	290	2615
100	291	2597
101	292	2578
102	294	2561
103	295	2545
104	296	2531
105	298	2514
106	299	2498
107	300	2482
108	301	2465
109	302	2449
110	303	2433
111	304	2418
112	306	2402
113	307	2387
114	308	2374
115	309	2359
116	310	2343
117	311	2329
118	312	2316
119	314	2303
120	315	2289
121	316	2275
122	317	2262
123	318	2249
124	319	2236
125	320	2223
126	321	2210
127	322	2198
128	323	2187
129	325	2175
130	326	2163
131	327	2153
132	328	2141
133	329	2130
134	330	2119
135	331	2108
136	332	2097
137	334	2087
138	335	2076
139	336	2066
140	337	2055
141	338	2043
142	339	2036
143	340	2026
144	342	2017
145	343	2007
146	344	1997
147	345	1988
148	346	1978
149	347	1969
150	348	1961
151	350	1952
152	351	1944
153	352	1935
154	353	1926
155	354	1918
156	355	1910
157	356	1902
158	358	1893
159	359	1885
160	359	1876
161	361	1867
162	362	1860
163	363	1852
164	364	1844
165	365	1837
166	366	1829
167	367	1822
168	369	1814
169	370	1808
170	371	1800
171	372	1793
172	373	1787
173	375	1780
174	376	1773
175	377	1766
176	378	1759
177	379	1752
178	380	1745
179	381	1738
180	383	1733
181	384	1726
182	385	1720
183	386	1714
184	387	1707
185	388	1701
186	389	1695
187	391	1690
188	393	1687
189	394	1680
190	395	1674
191	396	1668
192	397	1663
193	399	1657
194	400	1652
195	401	1647
196	402	1641
197	403	1635
198	404	1629
199	405	1623
200	406	1617
201	407	1611
202	409	1605
203	410	1600
204	411	1595
205	412	1589
206	413	1584
207	414	1579
208	415	1574
209	417	1569
210	418	1563
211	419	1558
212	420	1553
213	421	1548
214	422	1543
215	423	1537
216	424	1532
217	425	1527
218	427	1523
219	428	1518
220	429	1513
221	430	1508
222	431	1503
223	432	1498
224	433	1493
225	434	1488
226	435	1484
227	436	1479
228	437	1474
229	439	1469
230	440	1465
231	441	1460
232	442	1456
233	443	1451
234	444	1447
235	445	1443
236	446	1438
237	447	1433
238	448	1428
239	449	1424
240	450	1419
241	452	1416
242	453	1411
243	454	1407
244	455	1403
245	456	1399
246	457	1394
247	458	1390
248	459	1386
249	460	1382
250	462	1379
251	463	1375
252	464	1371
253	465	1367
254	466	1363
255	467	1358
256	469	1356
257	470	1352
258	471	1348
259	472	1344
260	473	1340
261	474	1336
262	475	1333
263	476	1329
264	478	1325
265	479	1321
266	480	1318
267	481	1314
268	482	1310
269	483	1306
270	484	1302
271	485	1299
272	486	1295
273	487	1292
274	488	1288
275	489	1284
276	491	1281
277	492	1277
278	493	1274
279	494	1271
280	495	1267
281	496	1264
282	497	1260
283	498	1257
284	499	1254
285	501	1251
286	502	1247
287	503	1244
288	504	1241
289	505	1237
290	506	1234
291	507	1231
292	509	1228
293	510	1225
294	511	1221
295	512	1218
296	513	1215
297	514	1212
298	515	1209
299	516	1206
300	518	1203
301	519	1200
302	520	1196
303	521	1193
304	522	1190
305	523	1187
306	524	1184
307	525	1181
308	527	1178
309	528	1175
310	529	1173
311	530	1169
312	531	1166
313	532	1163
314	533	1160
315	534	1157
316	535	1154
317	536	1151
318	537	1148
319	539	1145
320	540	1142
321	541	1139
322	543	1139
323	544	1136
324	545	1133
325	546	1130
326	547	1127
327	548	1124
328	550	1121
329	551	1118
330	552	1116
331	553	1113
332	554	1110
333	555	1107
334	556	1105
335	558	1102
336	559	1099
337	560	1096
338	561	1094
339	562	1091
340	563	1088
341	564	1086
342	565	1083
343	566	1080
344	567	1077
345	568	1074
346	569	1071
347	570	1069
348	571	1066
349	572	1064
350	574	1061
351	575	1058
352	576	1056
353	577	1053
354	578	1050
355	579	1048
356	580	1045
357	581	1043
358	582	1040
359	583	1038
360	585	1036
361	586	1033
362	587	1030
363	588	1028
364	589	1025
365	590	1023
366	591	1020
367	592	1018
368	594	1015
369	595	1013
370	596	1010
371	597	1008
372	598	1005
373	599	1003
374	600	1001
375	601	999
376	602	996
377	604	994
378	605	991
379	606	988
380	607	986
381	608	984
382	609	981
383	610	979
384	611	976
385	612	974
386	614	972
387	615	970
388	616	968
389	617	965
390	618	963
391	619	960
392	620	958
393	621	956
394	622	953
395	623	951
396	624	948
397	625	946
398	626	944
399	627	941
400	629	939
401	630	937
402	631	935
403	632	932
404	633	930
405	634	928
406	635	925
407	636	923
408	637	921
409	638	919
410	639	916
411	640	914
412	642	912
413	643	910
414	644	908
415	645	906
416	646	904
417	647	901
418	648	899
419	649	897
420	650	895
421	651	892
422	652	890
423	653	888
424	655	886
425	656	884
426	658	883
427	660	882
428	661	880
429	662	878
430	663	876
431	664	873
432	665	871
433	666	869
434	667	867
435	668	865
436	670	863
437	671	861
438	672	859
439	674	858
440	675	856
441	677	855
442	678	853
443	679	851
444	681	849
445	682	847
446	683	845
447	684	843
448	685	841
449	687	839
450	688	837
451	689	835
452	690	833
453	691	831
454	693	830
455	694	828
456	695	826
457	696	824
458	697	822
459	698	820
460	699	818
461	701	816
462	702	814
463	703	812
464	704	810
465	705	808
466	706	806
467	707	804
468	708	802
469	709	800
470	710	798
471	711	796
472	713	794
473	714	792
474	715	790
475	716	788
476	717	786
477	718	784
478	719	783
479	721	781
480	722	779
481	723	777
482	724	775
483	725	773
484	726	771
485	727	769
486	728	767
487	729	765
488	731	764
489	732	762
490	733	760
491	734	758
492	735	756
493	736	754
494	738	753
495	739	751
496	740	749
497	743	749
498	744	747
499	746	746
500	747	744
501	748	742
502	749	740
503	750	738
504	751	736
505	752	734
506	753	732
507	754	730
508	755	728
509	756	726
510	757	725
511	758	723
512	760	721
513	761	719
514	762	717
515	763	715
516	764	714
517	765	712
518	766	710
519	767	708
520	768	706
521	769	704
522	770	702
523	771	700
524	772	698
525	773	697
526	774	695
527	775	693
528	777	691
529	778	690
530	779	688
